scenario_id,radius_km,client_tw_hours,client_tw_start,client_tw_end,depot_tw_start,depot_tw_end,service_time_sec,pharmacies_count,vehicles_used,total_distance_km,total_time_sec,execution_time_sec,status,timestamp
20_05_25,20,5,25200,43200,18000,68400,1500,105,10,304.8116,170136,51.23793983459473,OK,2025-12-09T18:22:59.711747
20_05_30,20,5,25200,43200,18000,68400,1800,105,11,317.8102,198195,22.501492023468018,OK,2025-12-09T18:23:22.273872
20_06_05,20,6,25200,46800,18000,68400,300,105,3,231.69310000000004,53280,26.314841985702515,OK,2025-12-09T18:23:48.611831
20_06_10,20,6,25200,46800,18000,68400,600,105,4,263.2250999999999,85167,22.850011825561523,OK,2025-12-09T18:24:11.511787
20_06_15,20,6,25200,46800,18000,68400,900,105,6,253.84449999999998,113717,27.46669912338257,OK,2025-12-09T18:24:39.024365
20_06_20,20,6,25200,46800,18000,68400,1200,105,7,272.0830000000001,142981,22.30646014213562,OK,2025-12-09T18:25:01.370208
20_06_25,20,6,25200,46800,18000,68400,1500,105,8,302.5617,172653,54.92998194694519,OK,2025-12-09T18:25:56.346532
20_06_30,20,6,25200,46800,18000,68400,1800,105,10,309.8459,199314,22.394031286239624,OK,2025-12-09T18:26:18.803107
20_07_05,20,7,25200,50400,18000,68400,300,105,3,235.0348,53348,25.039465188980103,OK,2025-12-09T18:26:43.883180
20_07_10,20,7,25200,50400,18000,68400,600,105,4,250.90999999999994,84648,77.04148483276367,OK,2025-12-09T18:28:00.967250
20_07_15,20,7,25200,50400,18000,68400,900,105,5,251.2934,114232,22.356871843338013,OK,2025-12-09T18:28:23.375742
20_07_20,20,7,25200,50400,18000,68400,1200,105,6,283.1135,144660,65.1215193271637,OK,2025-12-09T18:29:28.551321
20_07_25,20,7,25200,50400,18000,68400,1500,105,7,278.1226000000002,172491,22.407798051834106,OK,2025-12-09T18:29:50.988982
20_07_30,20,7,25200,50400,18000,68400,1800,105,8,326.32300000000026,202395,22.124295234680176,OK,2025-12-09T18:30:13.172285
20_08_05,20,8,25200,54000,18000,68400,300,105,3,252.0722,54891,23.94066596031189,OK,2025-12-09T18:30:37.150954
20_08_10,20,8,25200,54000,18000,68400,600,105,3,253.77140000000003,84964,30.076317071914673,OK,2025-12-09T18:31:07.270248
20_08_15,20,8,25200,54000,18000,68400,900,105,4,263.3116,114903,22.01365089416504,OK,2025-12-09T18:31:29.308980
20_08_20,20,8,25200,54000,18000,68400,1200,105,5,261.72029999999995,145108,22.647624969482422,OK,2025-12-09T18:31:52.008142
20_08_25,20,8,25200,54000,18000,68400,1500,105,6,309.32340000000005,175870,30.969069004058838,OK,2025-12-09T18:32:23.029044
20_08_30,20,8,25200,54000,18000,68400,1800,105,7,280.36319999999984,202240,27.578068017959595,OK,2025-12-09T18:32:50.667246
20_09_05,20,9,25200,57600,18000,68400,300,105,3,236.98439999999997,53056,22.662909746170044,OK,2025-12-09T18:33:13.367748
20_09_10,20,9,25200,57600,18000,68400,600,105,3,243.20530000000002,84517,23.37776803970337,OK,2025-12-09T18:33:36.824798
20_09_15,20,9,25200,57600,18000,68400,900,105,4,249.31809999999993,114366,22.41321587562561,OK,2025-12-09T18:33:59.292877
20_09_20,20,9,25200,57600,18000,68400,1200,105,5,250.58930000000007,144141,59.84423875808716,OK,2025-12-09T18:34:59.190162
20_09_25,20,9,25200,57600,18000,68400,1500,105,6,267.4781999999999,173882,22.739346742630005,OK,2025-12-09T18:35:21.982073
20_09_30,20,9,25200,57600,18000,68400,1800,105,7,281.74639999999994,202285,23.195060968399048,OK,2025-12-09T18:35:45.225867
20_10_05,20,10,25200,61200,18000,68400,300,105,3,236.98439999999997,53056,22.31117606163025,OK,2025-12-09T18:36:07.598827
20_10_10,20,10,25200,61200,18000,68400,600,105,3,236.07870000000005,83688,22.708406925201416,OK,2025-12-09T18:36:30.356855
20_10_15,20,10,25200,61200,18000,68400,900,105,4,233.2211,113585,22.63819980621338,OK,2025-12-09T18:36:53.032373
20_10_20,20,10,25200,61200,18000,68400,1200,105,5,260.57790000000006,144063,23.1272029876709,OK,2025-12-09T18:37:16.210936
20_10_25,20,10,25200,61200,18000,68400,1500,105,5,262.4408,174133,25.087729930877686,OK,2025-12-09T18:37:41.346852
20_10_30,20,10,25200,61200,18000,68400,1800,105,6,253.7019000000001,202323,29.360158920288086,OK,2025-12-09T18:38:10.751419
25_02_05,25,2,25200,32400,18000,68400,300,137,10,515.4727999999999,78754,23.90062689781189,OK,2025-12-09T18:38:34.724320
25_02_10,25,2,25200,32400,18000,68400,600,137,15,611.8895999999997,120432,24.761574268341064,OK,2025-12-09T18:38:59.553348
25_02_15,25,2,25200,32400,18000,68400,900,137,20,646.2813999999997,155701,23.268402814865112,OK,2025-12-09T18:39:22.913683
25_02_20,25,2,25200,32400,18000,68400,1200,137,25,720.5474999999999,188928,24.447162866592407,OK,2025-12-09T18:39:47.456817
25_02_25,25,2,25200,32400,18000,68400,1500,137,29,842.6832999999999,224317,23.408817291259766,OK,2025-12-09T18:40:10.976699
25_02_30,25,2,25200,32400,18000,68400,1800,137,35,857.4469999999998,247800,23.6038601398468,OK,2025-12-09T18:40:34.679000
25_03_05,25,3,25200,36000,18000,68400,300,137,7,442.84949999999986,75947,23.76224422454834,OK,2025-12-09T18:40:58.500846
25_03_10,25,3,25200,36000,18000,68400,600,137,11,515.9629000000001,117434,22.89716601371765,OK,2025-12-09T18:41:21.464973
25_03_15,25,3,25200,36000,18000,68400,900,137,14,549.7880999999999,155065,23.097358226776123,OK,2025-12-09T18:41:44.630918
25_03_20,25,3,25200,36000,18000,68400,1200,137,17,621.8091000000002,192491,24.213136196136475,OK,2025-12-09T18:42:08.981475
25_03_25,25,3,25200,36000,18000,68400,1500,137,21,642.2901,223497,23.360092878341675,OK,2025-12-09T18:42:32.423864
25_03_30,25,3,25200,36000,18000,68400,1800,137,24,710.7798000000001,257214,64.68948316574097,OK,2025-12-09T18:43:37.203810
25_04_05,25,4,25200,39600,18000,68400,300,137,6,427.8007999999998,75542,23.595135927200317,OK,2025-12-09T18:44:00.844694
25_04_10,25,4,25200,39600,18000,68400,600,137,8,468.4367000000002,115765,24.05598473548889,OK,2025-12-09T18:44:24.958874
25_04_15,25,4,25200,39600,18000,68400,900,137,11,519.2325999999998,156365,23.654504776000977,OK,2025-12-09T18:44:48.715490
25_04_20,25,4,25200,39600,18000,68400,1200,137,13,579.1197999999999,194462,23.540247201919556,OK,2025-12-09T18:45:12.326776
25_04_25,25,4,25200,39600,18000,68400,1500,137,16,559.9662999999998,226321,25.452276945114136,OK,2025-12-09T18:45:37.874422
25_04_30,25,4,25200,39600,18000,68400,1800,137,19,611.5026,260006,23.63305687904358,OK,2025-12-09T18:46:01.841822
25_05_05,25,5,25200,43200,18000,68400,300,137,5,407.95490000000007,74995,23.731634855270386,OK,2025-12-09T18:46:25.662493
25_05_10,25,5,25200,43200,18000,68400,600,137,7,441.10379999999986,115694,23.31561017036438,OK,2025-12-09T18:46:49.212986
25_05_15,25,5,25200,43200,18000,68400,900,137,9,448.3935000000001,153335,33.56630873680115,OK,2025-12-09T18:47:22.846239
25_05_20,25,5,25200,43200,18000,68400,1200,137,11,521.2352999999998,193483,23.272646188735962,OK,2025-12-09T18:47:46.183606
25_05_25,25,5,25200,43200,18000,68400,1500,137,13,526.1129000000001,228733,25.01041603088379,OK,2025-12-09T18:48:11.261027
25_05_30,25,5,25200,43200,18000,68400,1800,137,15,544.5273999999997,263662,25.60121488571167,OK,2025-12-09T18:48:36.942692
25_06_05,25,6,25200,46800,18000,68400,300,137,4,391.6302999999998,74441,23.092017889022827,OK,2025-12-09T18:49:00.083979
25_06_10,25,6,25200,46800,18000,68400,600,137,6,442.2539999999998,115129,23.647456884384155,OK,2025-12-09T18:49:23.796420
25_06_15,25,6,25200,46800,18000,68400,900,137,8,473.67149999999987,154930,33.683542013168335,OK,2025-12-09T18:49:57.544548
25_06_20,25,6,25200,46800,18000,68400,1200,137,9,468.8509999999997,194106,70.74141192436218,OK,2025-12-09T18:51:08.384702
25_06_25,25,6,25200,46800,18000,68400,1500,137,11,495.50830000000013,231408,25.541965007781982,OK,2025-12-09T18:51:33.993511
25_06_30,25,6,25200,46800,18000,68400,1800,137,13,526.7782999999997,266074,23.475980043411255,OK,2025-12-09T18:51:57.541512
25_07_05,25,7,25200,50400,18000,68400,300,137,3,425.19780000000014,76506,23.408249139785767,OK,2025-12-09T18:52:21.003588
25_07_10,25,7,25200,50400,18000,68400,600,137,5,428.59929999999986,115512,23.114927053451538,OK,2025-12-09T18:52:44.175843
25_07_15,25,7,25200,50400,18000,68400,900,137,6,429.8416999999999,154880,23.54033398628235,OK,2025-12-09T18:53:07.775636
25_07_20,25,7,25200,50400,18000,68400,1200,137,8,476.77319999999975,194441,23.284348249435425,OK,2025-12-09T18:53:31.117702
25_07_25,25,7,25200,50400,18000,68400,1500,137,10,472.7980999999999,230069,23.49444603919983,OK,2025-12-09T18:53:54.707481
25_07_30,25,7,25200,50400,18000,68400,1800,137,11,482.04779999999994,267717,25.35780692100525,OK,2025-12-09T18:54:20.141330
25_08_05,25,8,25200,54000,18000,68400,300,137,3,433.2574999999999,76612,23.11230206489563,OK,2025-12-09T18:54:43.314943
25_08_10,25,8,25200,54000,18000,68400,600,137,4,445.4501999999997,116521,23.878941774368286,OK,2025-12-09T18:55:07.247580
25_08_15,25,8,25200,54000,18000,68400,900,137,6,445.2319999999999,154974,29.104678869247437,OK,2025-12-09T18:55:36.407251
25_08_20,25,8,25200,54000,18000,68400,1200,137,7,467.6968999999998,194653,23.95047879219055,OK,2025-12-09T18:56:00.431125
25_08_25,25,8,25200,54000,18000,68400,1500,137,9,470.96949999999975,232033,23.22788095474243,OK,2025-12-09T18:56:23.716964
25_08_30,25,8,25200,54000,18000,68400,1800,137,10,487.0103999999999,269667,23.41239595413208,OK,2025-12-09T18:56:47.187696
25_09_05,25,9,25200,57600,18000,68400,300,137,3,426.95469999999995,76706,23.21621012687683,OK,2025-12-09T18:57:10.458016
25_09_10,25,9,25200,57600,18000,68400,600,137,4,406.79999999999995,114801,23.02441430091858,OK,2025-12-09T18:57:33.529592
25_09_15,25,9,25200,57600,18000,68400,900,137,5,409.05679999999995,154748,25.81700587272644,OK,2025-12-09T18:57:59.421178
25_09_20,25,9,25200,57600,18000,68400,1200,137,6,466.7912000000001,195743,23.0586519241333,OK,2025-12-09T18:58:22.537083
25_09_25,25,9,25200,57600,18000,68400,1500,137,8,509.1202999999998,233701,23.234999179840088,OK,2025-12-09T18:58:45.824182
25_09_30,25,9,25200,57600,18000,68400,1800,137,9,483.7357999999999,270574,23.004827737808228,OK,2025-12-09T18:59:08.886081
25_10_05,25,10,25200,61200,18000,68400,300,137,3,432.51520000000005,76449,25.818161964416504,OK,2025-12-09T18:59:34.755011
25_10_10,25,10,25200,61200,18000,68400,600,137,4,418.9146000000001,115925,23.3335702419281,OK,2025-12-09T18:59:58.156360
25_10_15,25,10,25200,61200,18000,68400,900,137,5,413.01,153865,23.142425060272217,OK,2025-12-09T19:00:21.350791
25_10_20,25,10,25200,61200,18000,68400,1200,137,6,468.7029000000001,195787,23.479774236679077,OK,2025-12-09T19:00:44.883954
25_10_25,25,10,25200,61200,18000,68400,1500,137,7,453.5093999999997,233151,23.03784489631653,OK,2025-12-09T19:01:07.983506
25_10_30,25,10,25200,61200,18000,68400,1800,137,8,465.40000000000003,271360,23.081223964691162,OK,2025-12-09T19:01:31.110831
30_02_05,30,2,25200,32400,18000,68400,300,180,14,815.2615999999996,111831,24.38987398147583,OK,2025-12-09T19:01:55.591145
30_02_10,30,2,25200,32400,18000,68400,600,180,21,945.1558000000001,167555,24.338727951049805,OK,2025-12-09T19:02:20.036612
30_02_15,30,2,25200,32400,18000,68400,900,180,27,1083.0657,215110,60.94944906234741,OK,2025-12-09T19:03:21.138086
30_02_20,30,2,25200,32400,18000,68400,1200,180,33,1105.3124,255527,74.44600319862366,OK,2025-12-09T19:04:35.716056
30_02_25,30,2,25200,32400,18000,68400,1500,180,39,1310.5436000000004,302725,24.95467710494995,OK,2025-12-09T19:05:00.809614
30_02_30,30,2,25200,32400,18000,68400,1800,180,46,1449.2916000000002,340337,25.583800077438354,OK,2025-12-09T19:05:26.552643
30_03_05,30,3,25200,36000,18000,68400,300,180,10,762.6069999999996,109905,24.103448629379272,OK,2025-12-09T19:05:50.755168
30_03_10,30,3,25200,36000,18000,68400,600,180,14,829.9141000000001,162975,32.20314002037048,OK,2025-12-09T19:06:23.055197
30_03_15,30,3,25200,36000,18000,68400,900,180,19,903.1899000000004,211826,24.90050721168518,OK,2025-12-09T19:06:48.052292
30_03_20,30,3,25200,36000,18000,68400,1200,180,23,982.2812999999996,259333,24.556981086730957,OK,2025-12-09T19:07:12.762398
30_03_25,30,3,25200,36000,18000,68400,1500,180,27,1144.3261000000007,309959,24.00044012069702,OK,2025-12-09T19:07:36.895251
30_03_30,30,3,25200,36000,18000,68400,1800,180,32,1190.005500000001,351323,24.928913116455078,OK,2025-12-09T19:08:01.959841
30_04_05,30,4,25200,39600,18000,68400,300,180,8,744.3605,109889,24.024755239486694,OK,2025-12-09T19:08:26.062422
30_04_10,30,4,25200,39600,18000,68400,600,180,11,762.7817,161021,23.998097896575928,OK,2025-12-09T19:08:50.156377
30_04_15,30,4,25200,39600,18000,68400,900,180,15,840.4462999999997,212294,23.739474058151245,OK,2025-12-09T19:09:13.993571
30_04_20,30,4,25200,39600,18000,68400,1200,180,18,844.6649000000004,259760,27.900425910949707,OK,2025-12-09T19:09:41.984715
30_04_25,30,4,25200,39600,18000,68400,1500,180,21,922.2163,307291,24.739747047424316,OK,2025-12-09T19:10:06.833419
30_04_30,30,4,25200,39600,18000,68400,1800,180,24,1003.4303,354793,24.01981782913208,OK,2025-12-09T19:10:30.972366
30_05_05,30,5,25200,43200,18000,68400,300,180,6,703.5577000000002,107749,24.37223982810974,OK,2025-12-09T19:10:55.425092
30_05_10,30,5,25200,43200,18000,68400,600,180,9,753.3020999999998,162669,78.56344294548035,OK,2025-12-09T19:12:14.073444
30_05_15,30,5,25200,43200,18000,68400,900,180,12,822.6456999999999,214419,28.15825390815735,OK,2025-12-09T19:12:42.393955
30_05_20,30,5,25200,43200,18000,68400,1200,180,15,816.4478,260215,23.88997507095337,OK,2025-12-09T19:13:06.372576
30_05_25,30,5,25200,43200,18000,68400,1500,180,17,915.6205000000003,313839,24.134331941604614,OK,2025-12-09T19:13:30.609580
30_05_30,30,5,25200,43200,18000,68400,1800,180,20,898.5314999999997,355959,33.566810131073,OK,2025-12-09T19:14:04.281079
30_06_05,30,6,25200,46800,18000,68400,300,180,5,679.8879999999997,106974,25.29493498802185,OK,2025-12-09T19:14:29.657569
30_06_10,30,6,25200,46800,18000,68400,600,180,8,736.8224999999995,160336,63.429396867752075,OK,2025-12-09T19:15:33.159024
30_06_15,30,6,25200,46800,18000,68400,900,180,10,702.2753999999999,209926,30.467055082321167,OK,2025-12-09T19:16:03.717837
30_06_20,30,6,25200,46800,18000,68400,1200,180,12,835.793,266051,24.1052348613739,OK,2025-12-09T19:16:27.914535
30_06_25,30,6,25200,46800,18000,68400,1500,180,14,828.0223000000003,310202,24.30360984802246,OK,2025-12-09T19:16:52.303055
30_06_30,30,6,25200,46800,18000,68400,1800,180,17,807.09,355081,24.468271732330322,OK,2025-12-09T19:17:16.887258
30_07_05,30,7,25200,50400,18000,68400,300,180,5,704.8112000000001,108239,24.188896894454956,OK,2025-12-09T19:17:41.144057
30_07_10,30,7,25200,50400,18000,68400,600,180,7,756.1917000000004,162172,24.376399040222168,OK,2025-12-09T19:18:05.598706
30_07_15,30,7,25200,50400,18000,68400,900,180,9,732.6636000000002,212153,24.0312020778656,OK,2025-12-09T19:18:29.702227
30_07_20,30,7,25200,50400,18000,68400,1200,180,11,774.8505,263038,23.91546607017517,OK,2025-12-09T19:18:53.694815
30_07_25,30,7,25200,50400,18000,68400,1500,180,13,807.5202000000003,313516,24.656206846237183,OK,2025-12-09T19:19:18.443850
